Fecha	Muestras	Casos	Activos	Acumulados	Fallecidos	Total fallecidos	Graves	Críticos
2021-05-30	22407	1100	6036	142266	8	958	93	52
2021-05-31	20474	1057	5963	143323	7	965	91	54
2021-06-01	21412	1191	5867	144514	12	977	88	50
2021-06-02	22620	1053	5905	145567	8	985	91	57
2021-06-03	24399	1129	5798	146696	7	992	105	56
2021-06-04	23963	1135	5963	147831	11	1003	101	47
2021-06-05	21730	1087	5901	148918	9	1012	119	54
2021-06-06	20992	1185	5917	150103	13	1025	115	58
2021-06-07	22511	1156	6034	151259	8	1033	113	53
2021-06-08	22332	1161	5982	152420	12	1045	87	54
2021-06-09	23608	1158	6047	153578	12	1057	83	55
2021-06-10	22690	1288	6192	154866	8	1065	90	52
2021-06-11	20730	1372	6375	156238	10	1075	98	47
2021-06-13	22093	1349	7048	159057	11	1098	96	54
2021-06-14	19862	1537	7418	160594	8	1106	99	62
2021-06-15	19791	1403	7625	161997	12	1118	88	67
2021-06-16	28757	1418	7742	163415	5	1123	72	64
2021-06-17	27635	1481	7748	164896	9	1132	77	73
2021-06-18	30575	1472	7879	166368	16	1148	92	64
2021-06-19	31158	1436	8101	167804	11	1159	86	60
2021-06-20	29281	1561	8364	169365	11	1170	103	58
2021-06-21	27126	1489	8662	170854	10	1180	94	62
2021-06-22	30462	2055	9129	172909	13	1193	97	54
2021-06-23	33471	1880	9486	174789	16	1209	97	47
2021-06-24	32380	2464	10367	177253	10	1219	102	60
2021-06-25	34608	2403	11100	179656	12	1231	95	59
2021-06-26	33981	2698	12185	182354	10	1241	109	62
2021-06-27	30449	2589	13213	184943	12	1253	114	65
2021-06-28	30945	3080	14435	188023	17	1270	113	70
2021-06-29	34585	2970	15502	190993	14	1284	112	77
2021-06-30	36202	2952	16557	193945	18	1302	107	77
2021-07-01	36000	3308	17434	197253	20	1322	123	73
2021-07-02	34849	3475	18448	200728	15	1337	128	72
2021-07-03	37801	3519	19320	204247	14	1351	128	81
2021-07-04	38826	3075	19113	207322	21	1372	131	80
2021-07-05	35243	3591	20307	210913	15	1387	112	70
2021-07-06	36905	3664	20882	214577	18	1405	105	79
2021-07-07	39101	3819	21091	218396	26	1431	101	72
2021-07-08	44653	6422	24322	224818	28	1459	91	71
2021-07-09	49198	6750	28205	231568	31	1490	101	93
2021-07-10	46648	6923	32088	238491	47	1537	124	109
2021-07-11	41705	6423	34918	244914	42	1579	125	96
2021-07-12	38721	5613	36840	250527	29	1608	119	94
2021-07-13	43246	6080	38913	256607	51	1659	131	127
2021-07-14	45721	6479	41559	263086	67	1726	118	129
2021-07-15	47356	6460	43434	269546	65	1791	171	134
2021-07-16	47466	6062	43569	275608	52	1843	166	137
2021-07-17	49965	6279	38612	281887	62	1905	193	145
2021-07-18	44310	6505	34575	288392	61	1966	164	143
2021-07-19	43808	6057	35617	294449	53	2019	176	148
2021-07-20	46350	6405	36852	300854	53	2072	171	148
2021-07-21	50844	7745	35649	308599	65	2137	192	130
2021-07-22	51425	7784	37435	316383	66	2203	199	129
2021-07-23	53006	7732	39521	324115	68	2271	180	131
2021-07-24	56424	8853	42147	332968	80	2351	206	153
2021-07-25	53310	8184	42338	341152	66	2417	225	164
2021-07-26	47616	7903	42354	349055	75	2492	231	153
2021-07-27	51209	9323	43593	358378	68	2560	201	149
2021-07-28	53469	8607	44059	366985	68	2628	197	143
2021-07-29	51142	8736	43161	375721	65	2693	218	155
2021-07-30	50758	8875	42814	384596	65	2758	181	159
2021-07-31	47753	9747	42955	394343	87	2845	208	146
2021-08-01	45314	9279	43955	403622	68	2913	232	153
2021-08-02	39294	9629	45966	413251	80	2993	216	141
2021-08-03	39671	9363	46113	422614	98	3091	228	140
2021-08-04	46306	8399	45632	431013	93	3184	257	150
2021-08-05	43388	8886	46079	439899	75	3259	261	142
2021-08-06	40248	8893	46724	448792	96	3355	299	152
2021-08-07	41730	9427	47291	458219	83	3438	336	153
2021-08-08	39358	7950	46746	466169	77	3515	308	166
2021-08-09	37373	8936	46054	475105	93	3608	293	168
2021-08-10	37405	8605	45383	483710	76	3684	311	175
2021-08-11	44026	8194	44072	491904	73	3757	305	179
2021-08-12	45581	8312	44031	500216	85	3842	312	161
2021-08-13	48802	8816	40790	509032	83	3925	339	146
2021-08-14	46109	8636	40472	517668	98	4023	333	142
2021-08-15	44360	9169	42042	526837	65	4088	337	109
2021-08-16	41023	9772	44158	536609	68	4156	354	115
2021-08-17	45939	8666	44730	545275	84	4240	330	128
2021-08-18	48651	8972	45272	554247	79	4319	352	134
2021-08-19	49635	9764	46449	564011	78	4397	347	131
2021-08-20	48705	9740	46983	573751	84	4481	391	124
2021-08-21	53853	9548	48487	583299	63	4544	375	130
2021-08-22	47223	9320	49901	592619	74	4618	375	119
2021-08-23	45529	9007	50371	602526	92	4710	344	134
